#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	XXX	NOTES
						
110	ᎠᎨᏳᏣ.	agehyuja				
	ᎠᏂᎨᏳᏣ.	anigehyuja				
	ᎠᏧᏣ.	achuja				
	ᎠᏂᏧᏣ.	anichuja				
	ᎦᏙ ᎠᏛᏁᎭ?	gado-advneha				
	ᎦᏙ ᎠᎾᏛᏁᎭ?	gado-anadvneha				
	ᏌᎶᎵ.	saloli				
	ᏌᏛᏗ.	sadvdi				
	ᏗᏌᏛᏗ.	disadvdi				
	ᏐᏈᎵ.	soquili				
	ᏲᎾ.	yona				
						
111	ᏌᏊ ᏅᏯ.	sagwu-nvya				
	ᏔᎵ ᏅᏯ.	tali-nvya				
	ᏦᎢ ᏅᏯ.	joi-nvya				
	ᏃᏘ ᏅᏯ.	not-nvya		kanigida-nvya		
	ᎧᏂᎩᏓ ᏅᏯ.	kanigida-nvya	not-nvya	not-nvya		
						
112	ᏃᏘ.	not		kanigida		
	ᎧᏂᎩᏓ.	kanigida	not	not		
	ᏌᏊ.	sagwu				
	ᏔᎵ.	tali		tali-wesa; anitali-wesa		
	ᏔᎵ ᏪᏌ.	tali-wesa		anitali-wesa		
	ᎠᏂᏔᎵ ᏪᏌ.	anitali-wesa		tali-wesa		
	ᏦᎢ.	joi		joi-wesa; anijoi-wesa		
	ᏦᎢ ᏪᏌ.	joi-wesa		anijoi-wesa		
	ᎠᏂᏦᎢ ᏪᏌ.	anijoi-wesa		joi-wesa		
	ᏅᎩ.	nvgi				
	ᎯᏍᎩ.	hisgi				
	ᏑᏓᎵ.	sudali				
	ᎦᎵᏉᎩ.	galgwogi				
	ᏣᏁᎳ.	chanela		chunela		
	ᏧᏁᎳ.	chunela	chanela	chanela		
	ᏐᏁᎳ.	sonela				
	ᏍᎪᎯ.	sgohi				
						
113	ᏌᏚ.	sadu				
	ᏔᎵᏚ.	taldu				
	ᏦᎦᏚ.	jogadu				
	ᏂᎦᏚ.	nigadu				
	ᏍᎩᎦᏚ.	sgigadu				
	ᏓᎳᏚ.	daladu				
	ᎦᎵᏆᏚ.	galgwadu				
	ᏁᎳᏚ.	neladu				
	ᏐᏁᎳᏚ.	sonehladu				
						
114	ᏔᎵᏍᎪᎯ.	20				
	ᏔᎵᏍᎪ ᏅᎩ.	24				
	ᏦᏍᎪᎯ.	30				
	ᏦᏍᎪ ᏣᏁᎳ.	38				
	ᏅᎩᏍᎪᎯ.	40				
	ᏅᎩᏍᎪ ᏐᏁᎳ.	49				
	ᎯᏍᎪᎯ.	50				
	ᎯᏍᎪ ᏐᏁᎳ.	59				
	ᏑᏓᎵᏍᎪᎯ.	60				
	ᏑᏓᎵᏍᎪ ᎯᏍᎩ.	65				
	ᎦᎵᏆᏍᎪᎯ.	70				
	ᎦᎵᏆᏍᎪ ᎦᎵᏉᎩ.	77				
	ᏁᎳᏍᎪᎯ.	80				
	ᏁᎳᏍᎪ ᏑᏓᎵ.	86				
	ᏐᏁᎳᏍᎪᎯ.	90				
	ᏐᏁᎳᏍᎪ ᏑᏓᎵ.	96				
						
115	ᏍᎪᎯᏥᏆ.	100				
	ᏔᎵᏥᏆ.	200				
	ᏦᎢᏥᏆ.	300				
	ᏅᎩᏥᏆ.	400				
	ᎯᏍᎩᏥᏆ.	500				
	ᏑᏓᎵᏥᏆ.	600				
	ᎦᎵᏉᎩᏥᏆ.	700				
	ᏁᎳᏥᏆ.	800				
	ᏐᏁᎳᏥᏆ.	900				
						
120	ᎭᏢ?	hadlv				ha²dlv
	ᎯᎳᏴᎢ?	hila-yvi	hila-iyvi			hị²la³²yv⁴ɂi
	ᎯᎳ ᎢᏴᎢ?	hila-iyvi	hila-iyvi			hị²la⁴ i²yv⁴ɂi
	ᎦᎪ?	gago		gagi		ga³go²
	ᎦᎩ?	gagi		gago		ga³²gi³
	ᎦᏙ?	gado				gạ²do¹
	ᎦᏙᎲ?	gadohv				gạ²do¹hv³
						
121	ᏑᏌᏃ ᏓᏆᏙᎠ.	susano-dagwadoa		susano		
	ᏩᏯ ᎤᏍᏗ ᏓᏆᏙᎠ.	wahya-usdi-dagwadoa		wahya-usdi; wahaya		
	ᏣᎵ ᎠᎴ ᎺᎵ ᏙᎩᎾᏙᎠ.	chali-ale-meli-doginadoa		chali; meli		
	ᏩᎭᏯ ᏙᎩᎾᏙᎠ.	wahaya-doginadoa		wahya-usdi; wahaya		
