#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᏕᎯ̣ᎪᏩᏘᎭ.	dehigowhtiha			You see them (inanimate).	
	ᏕᏥ̣ᎪᏩᏘᎭ.	dejigowhtiha			I see them (inanimate).	
						
71	ᎤᏪᏴᎢ	uweyvi			A river.	u¹we³yv⁴ɂi
	ᎠᎹᏳᏟᏗ	amayuhldi			A river bank.	ạ²ma²yuhl⁴di
	ᏡᎬᎢ	hlgvi			A tree.	hlgv⁴ɂi
	ᏕᏡᎬᎢ	dehlgvi			Trees.	dehl²³gv⁴ɂi
						
72	ᎠᎭᏂ ᎠᎨᏯ ᏥᎪᏩᏘᎭ.	ahani-agehya			Here a woman, her I see.	
	ᎠᎭᏂ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ.	ahani-anigehya			Here women, them I see.	
	ᎠᎭᏂ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	ahani-anisgaya			Here men, them I see.	
	ᎠᎭᏂ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ.	ahani-asgaya			Here a man, him I see.	
	ᎠᎭᏂ ᎩᏟ ᏥᎪᏩᏘᎭ.	ahani-gihli			Here a dog, it I see.	
	ᎠᎭᏂ ᏄᎾ Ꮵ̣ᎪᏩᏘᎭ.	ahani-nuna			Here a potato, it I see.	
	ᎠᎭᏂ ᏪᏌ ᎦᏥᎪᏩᏘᎭ.	ahani-wesa			Here cats, them I see.	
	ᎤᎿ ᎠᎨᏯ ᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-agehya-nvya			There a woman, her I see and a rock, it I see.	
	ᎤᎿ ᎠᎨᏯ ᏥᎪᏩᏘᎭ.	uhna-agehya			There a woman, her I see.	
	ᎤᎿ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏄᎾ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-anigehya-nuna			There women, them I see and potatoes, them I see.	
	ᎤᎿ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ.	uhna-anigehya			There women, them I see.	
	ᎤᎿ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏄᎾ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-anisgaya-nuna			There men, them I see and potatoes, them I see.	
	ᎤᎿ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	uhna-anisgaya			There men, them I see.	
