#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᎠᏍᎦᏯ Ꮎ ᎤᏩᎧᎭ.	asgaya-na-uwakaha	asgaya-gihli-uwakaha		A man, that (animate), he has.	
	ᎠᏍᎦᏯ ᎩᏟ ᎤᏩᎧᎭ.	asgaya-gihli-uwakaha			A man, a dog, he has.	
						
	ᎥᏍᎩᎾ ᎩᏟ ᎤᏂᎧᎭ.	vsgina-gihli-unikaha	anisgaya-gihli-unikaha		They, a dog, they have.	
	Ꮭ ᎥᏍᎩ ᏪᏌ ᏳᏂᎧᎭ.	hla-vsgi-wesa-yunikaha	hla-anisgaya-wesa-yunikaha		They, a cat, they do not have.	
	ᎠᏂᏍᎦᏯ ᎩᏟ ᎤᏂᎧᎭ.	anisgaya-gihli-unikaha			Men, a dog, they have.	
	Ꮭ ᎠᏂᏍᎦᏯ ᏪᏌ ᏳᏂᎧᎭ.	hla-anisgaya-wesa-yunikaha			Men, a cat, they do not have.	
						
	ᎯᎠ ᎠᎩᎧᎭ.	hia-agikaha	gihli-agikaha		Him or her, I have.	
	Ꮭ Ꮎ ᏯᎩᎧᎭ.	hla-na-yagikaha	hla-gihli-yagikaha		Him or her, I do not have.	
	ᎩᏟ ᎠᎩᎧᎭ.	gihli-agikaha			A dog I have.	
	Ꮭ ᎩᏟ ᏯᎩᎧᎭ.	hla-gihli-yagikaha			A dog I do not have.	
						
	ᎾᏍᎩ ᏣᎧᎭ.	nasgi-jakaha	wesa-jakaha		Him or her, you have.	
	Ꮭ ᎥᏍᎩᎾ ᏱᏣᎧᎭ.	hla-vsgina-yijakaha	hla-wesa-yijakaha		Him or her, you do not have.	
	ᏪᏌ ᏣᎧᎭ.	wesa-jakaha			A cat, you have.	
	Ꮭ ᏪᏌ ᏱᏣᎧᎭ.	hla-wesa-yijakaha			A cat, you do not have.	
						
190	ᏚᎭ.	duha	asgaya-nuna-duha		He or she has them.	
	ᏚᏂᎭ.	duniha	anisgaya-nuna-duniha		They have them.	
	ᏓᎩᎭ.	dagiha	nvya-dagiha		I have them.	
	ᏕᏣᎭ.	dejaha	nuna-dejaha		You one have them.	
	ᏚᏩᎧᎭ.	duwakaha	asgaya-gihli-duwakaha		He or she has them (animate).	
	ᏚᏂᎧᎭ.	dunikaha	anisgaya-gihli-dunikaha		They have them (animate).	
	ᏓᎩᎧᎭ.	dagikaha	gihli-dagikaha		I have them (animate).	
	ᏕᏣᎧᎭ.	dejakaha	wesa-dejakaha		You one have them (animate).	
						
	ᎦᎪ ᎬᎩᎪᏩᏘᎭ?	gago-gvgigowhtiha			Who are they who see me?	
	ᎦᎪ ᎨᏣᎪᏩᏘᎭ?	gago-gejagowhtiha			Who are they who see you?	
						
	ᎦᏙ ᏧᏍᏗ ᏚᎭ?	gado-jusdi-duha			What all (inanimate) does he or she have?	
	ᎦᏙ ᏧᏍᏗ ᏚᏂᎭ?	gado-jusdi-duniha			What all (inanimate) do they have?	
	ᎦᏙ ᏧᏍᏗ ᏓᎩᎭ?	gado-jusdi-dagiha			What all (inanimate) do I have?	
	ᎦᏙ ᏧᏍᏗ ᏕᏣᎭ?	gado-jusdi-dejaha			What all (inanimate) do you have?	
	ᎦᏙ ᎤᎾᏍᏗ ᏚᏩᎧᎭ?	gado-unsdi-duwakaha			What all (animate) does he or she have?	
	ᎦᏙ ᎤᎾᏍᏗ ᏚᏂᎧᎭ?	gado-unsdi-dunikaha			What all (animate) do they have?	
	ᎦᏙ ᎤᎾᏍᏗ ᏓᎩᎧᎭ?	gado-unsdi-dagikaha			What all (animate) do I have?	
	ᎦᏙ ᎤᎾᏍᏗ ᏕᏣᎧᎭ?	gado-unsdi-dejakaha			What all (animate) do you have?	
						
	Ꮭ ᏱᏚᎭ.	hla-yiduha	hla-agehya-nuna-yiduha		Them he or she does not have.	
	Ꮭ ᏱᏚᏂᎭ.	hla-yiduniha	hla-anisgaya-nvya-yiduniha		Them they do not have.	
	Ꮭ ᏱᏓᎩᎭ.	hla-yidagiha	hla-nvya-yidagiha		Them I do not have.	
	Ꮭ ᏱᏗᏣᎭ.	hla-yidijaha	hla-nuna-yidijaha		Them you one do not have.	
	Ꮭ ᏱᏚᏩᎧᎭ.	hla-yiduwakaha	hla-asgaya-gihli-yiduwakaha		Them (animate) he or she does not have.	
	Ꮭ ᏱᏚᏂᎧᎭ.	hla-yidunikaha	hla-anisgaya-wesa-yidunikaha		Them (animate) they do not have.	
	Ꮭ ᏱᏓᎩᎧᎭ.	hla-yidagikaha	hla-gihli-yidagikaha		Them (animate) I do not have.	
	Ꮭ ᏱᏗᏣᎧᎭ.	hla-yidijakaha	hla-wesa-yidijakaha		Them (animate) you one do not have.	
						
	ᎬᎩᎪᏩᏘᎭ.	gvgigowhtiha	nasgi-gvgigowhtiha		They see me.	
	Ꮭ ᏱᎬᎩᎪᏩᏘᎭ.	hla-yigvgigowhtiha	hla-nasgi-yigvgigowhtiha		They are not seeing me.	
	ᎨᏣᎪᏩᏘᎭ.	gejagowhtiha	vsgina-gejagowhtiha		They see you.	
	Ꮭ ᏱᎨᏣᎪᏩᏘᎭ.	hla-yigejagowhtiha	hla-vsgina-yigejagowhtiha		They are not seeing you.	
						
	ᎾᏍᎩ ᎬᎩᎪᏩᏘᎭ.	nasgi-gvgigowhtiha	nasgi-gvgigowhtiha		They see me.	
	Ꮭ ᎾᏍᎩ ᏱᎬᎩᎪᏩᏘᎭ.	hla-nasgi-yigvgigowhtiha	hla-nasgi-yigvgigowhtiha		They are not seeing me.	
	ᎥᏍᎩᎾ ᎨᏣᎪᏩᏘᎭ.	vsgina-gejagowhtiha	vsgina-gejagowhtiha		They see you.	
	Ꮭ ᎥᏍᎩᎾ ᏱᎨᏣᎪᏩᏘᎭ.	hla-vsgina-yigejagowhtiha	hla-vsgina-yigejagowhtiha		They are not seeing you.	
						
	ᎠᏍᎦᏯ ᎥᏍᎩ ᏚᎭ.	asgaya-vsgi-duha	asgaya-nuna-duha		A man, them, he has.	
	Ꮭ ᎠᎨᏯ ᎥᏍᎩ ᏱᏚᎭ.	hla-agehya-vsgi-yiduha	hla-agehya-nuna-yiduha		A woman, them, she does not have.	
	ᎠᏍᎦᏯ ᏄᎾ ᏚᎭ.	asgaya-nuna-duha			A man, potatoes, he has.	
	Ꮭ ᎠᎨᏯ ᏄᎾ ᏱᏚᎭ.	hla-agehya-nuna-yiduha			A woman, potatoes, she does not have.	
						
	ᎾᏍᎩ ᏄᎾ ᏚᏂᎭ.	nasgi-nuna-duniha	anisgaya-nuna-duniha		They, potatoes, they have.	
	Ꮭ ᎾᏍᎩ ᏅᏯ ᏱᏚᏂᎭ.	hla-nasgi-nvya-yiduniha	hla-anisgaya-nvya-yiduniha		They, rocks, they do not have.	
	ᎠᏂᏍᎦᏯ ᏄᎾ ᏚᏂᎭ.	anisgaya-nuna-duniha			Men, potatoes, they have.	
	Ꮭ ᎠᏂᏍᎦᏯ ᏅᏯ ᏱᏚᏂᎭ.	hla-anisgaya-nvya-yiduniha			Men, rocks, they do not have.	
						
	ᎯᎠ ᏓᎩᎭ.	hia-dagiha	nvya-dagiha		These I have.	
	Ꮭ ᎾᏍᎩ ᏱᏓᎩᎭ.	hla-nasgi-yidagiha	hla-nvya-yidagiha		Those I do not have.	
	ᏅᏯ ᏓᎩᎭ.	nvya-dagiha			Rocks I have.	
	Ꮭ ᏅᏯ ᏱᏓᎩᎭ.	hla-nvya-yidagiha			Rocks I do not have.	
						
	ᎥᏍᎩᎾ ᏕᏣᎭ.	vsgina-dejaha	nuna-dejaha		Those you have.	
	Ꮭ ᎥᏍᎩ ᏱᏗᏣᎭ.	hla-vsgi-yidijaha	hla-nuna-yidijaha		Those you do not have.	
	ᏄᎾ ᏕᏣᎭ.	nuna-dejaha			Potatoes you have.	
	Ꮭ ᏄᎾ ᏱᏗᏣᎭ.	hla-nuna-yidijaha			Potatoes you do not have.	
						
	ᎠᏍᎦᏯ Ꮎ ᏚᏩᎧᎭ.	asgaya-na-duwakaha	asgaya-gihli-duwakaha		A man, that (animate), he has.	
	Ꮭ ᎠᏍᎦᏯ Ꮎ ᏱᏚᏩᎧᎭ.	hla-asgaya-na-yiduwakaha	hla-asgaya-gihli-yiduwakaha		A man, that (animate), he does not have.	
	ᎠᏍᎦᏯ ᎩᏟ ᏚᏩᎧᎭ.	asgaya-gihli-duwakaha			A man, a dog, he has.	
	Ꮭ ᎠᏍᎦᏯ ᎩᏟ ᏱᏚᏩᎧᎭ.	hla-asgaya-gihli-yiduwakaha			A man, a dog, he does not have.	
						
	ᎥᏍᎩᎾ ᎩᏟ ᏚᏂᎧᎭ.	vsgina-gihli-dunikaha	anisgaya-gihli-dunikaha		They, dogs, they have them.	
	Ꮭ ᎥᏍᎩ ᏪᏌ ᏱᏚᏂᎧᎭ.	hla-vsgi-wesa-yidunikaha	hla-anisgaya-wesa-yidunikaha		They, cats, they do not have them.	
	ᎠᏂᏍᎦᏯ ᎩᏟ ᏚᏂᎧᎭ.	anisgaya-gihli-dunikaha			Men, dogs, they have them.	
	Ꮭ ᎠᏂᏍᎦᏯ ᏪᏌ ᏱᏚᏂᎧᎭ.	hla-anisgaya-wesa-yidunikaha			Men, cats, they do not have them.	
						
	ᎯᎠ ᏓᎩᎧᎭ.	hia-dagikaha	gihli-dagikaha		These (animate) I have.	
	Ꮭ Ꮎ ᏱᏓᎩᎧᎭ.	hla-na-yidagikaha	hla-gihli-yidagikaha		Those (animate) I do not have.	
	ᎩᏟ ᏓᎩᎧᎭ.	gihli-dagikaha			Dogs I have.	
	Ꮭ ᎩᏟ ᏱᏓᎩᎧᎭ.	hla-gihli-yidagikaha			Dogs I do not have.	
						
	ᎾᏍᎩ ᏕᏣᎧᎭ.	nasgi-dejakaha	wesa-dejakaha		Those (animate) you have.	
	Ꮭ ᎥᏍᎩᎾ ᏱᏗᏣᎧᎭ.	hla-vsgina-yidijakaha	hla-wesa-yidijakaha		Those (animate) you do not have.	
	ᏪᏌ ᏕᏣᎧᎭ.	wesa-dejakaha			Cats you have.	
	Ꮭ ᏪᏌ ᏱᏗᏣᎧᎭ.	hla-wesa-yidijakaha			Cats you do not have.	
						
200	ᎢᎩ.	igi			Is now.	
	ᎢᎦ.	iga			Is now and ongoing.	
	ᎨᏐᎢ.	gesoi			Usually is.	
	ᎨᏒᎢ.	gesvi				not doing
	ᎨᏒᎩ.	gesvgi			Was being (I know for a fact).	
	ᎨᏎᎢ.	gesei	gesvgi		Was being (I know second hand).	
	ᎨᎲᎢ.	gehvi				not doing
	ᎨᎲᎩ.	gehvgi			Was a while ago (I know for a fact).	
	ᎨᎮᎢ.	gehei	gehvgi		Was a while ago (I know second hand).	
	ᎨᏎᏍᏗ.	gesesdi			Will be.	
						
	Ꮭ ᏱᎩ.	hla-yigi			Isn’t now.	
	Ꮭ ᏱᎨᏐᎢ.	hla-yigesoi			Isn’t usually.	
	Ꮭ ᏱᎨᏒᎩ.	hla-yigesvgi			Wasn’t (I know for a fact).	
	Ꮭ ᏱᎨᏎᎢ.	hla-yigesei	hla-yigesvgi		Wasn’t (I know second hand).	
	Ꮭ ᏱᎨᎲᎩ.	hla-yigehvgi			Wasn’t a while ago (I know for a fact).	
	Ꮭ ᏱᎨᎮᎢ.	hla-yigehei	hla-yigehvgi		Wasn’t a while ago (I know second hand).	
	Ꮭ ᏱᎨᏎᏍᏗ.	hla-yigesesdi			Won’t be.	
						
	ᏱᎩ.	yigi			Maybe it is.	
	ᏱᎨᏐᎢ.	yigesoi			Maybe it usually is.	
	ᏱᎨᏎᎢ.	yigesei			Maybe it was.	
	ᏱᎨᎮᎢ.	yigehei			Maybe it was awhile ago.	
	ᏱᎨᏎᏍᏗ.	yigesesdi			Maybe it will be.	
						
201	ᎠᎬᎿᎨ ᏪᏌ.	agvhnage-wesa	agvhnage-wesa		A black cat it is.	
	ᎠᎬᎿᎨ ᏪᏌ ᎢᎩ.	agvhnage-wesa-igi	agvhnage-wesa		A black cat it is.	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏐᎢ.	agvhnage-wesa-gesoi	agvhnage-wesa-gesoi		A black cat it usually is.	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏒᎩ.	agvhnage-wesa-gesvgi	agvhnage-wesa-gesvgi		A black cat it was (for a fact).	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏎᎢ.	agvhnage-wesa-gesei	agvhnage-wesa-gesei		A black cat it was (I know second hand).	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᎲᎩ.	agvhnage-wesa-gehvgi	agvhnage-wesa-gehvgi		A black cat it was a while ago (for a fact).	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᎮᎢ.	agvhnage-wesa-gehei	agvhnage-wesa-gehei		A black cat it was a wile ago (I know second hand).	
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏎᏍᏗ.	agvhnage-wesa-gesesdi	agvhnage-wesa-gesesdi		A black cat, it will be.	
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎩ.	wesa-hla-agvhnage-yigi	wesa-hla-agvhnage-yigi		A cat, it isn’t black.	
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᏎᎢ.	wesa-hla-agvhnage-yigesei	wesa-hla-agvhnage-yigesei		A cat, it wasn’t black.	
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᎮᎢ.	wesa-hla-agvhnage-yigehei	wesa-hla-agvhnage-yigehei		A cat, it wasn’t black a while ago.	
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᏎᏍᏗ.	wesa-hla-agvhnage-yigesesdi	wesa-hla-agvhnage-yigesesdi		A cat, it won’t be a black.	
	Ꮭ ᏪᏌ ᏱᎩ.	hla-wesa-yigi	hla-wesa-yigi		It isn’t a cat.	
	Ꮭ ᏪᏌ ᏱᎨᏐᎢ.	hla-wesa-yigesoi	hla-wesa-yigesoi		It isn’t usually a cat.	
	Ꮭ ᏪᏌ ᏱᎨᏒᎩ.	hla-wesa-yigesvgi	hla-wesa-yigesvgi		It wasn’t a cat (for a fact).	
	Ꮭ ᏪᏌ ᏱᎨᏎᎢ.	hla-wesa-yigesei	hla-wesa-yigesei		It wasn’t a cat (I know second hand).	
	Ꮭ ᏪᏌ ᏱᎨᎲᎩ.	hla-wesa-yigehvgi	hla-wesa-yigehvgi		It wasn’t a cat a while ago (for a fact).	
	Ꮭ ᏪᏌ ᏱᎨᎮᎢ.	hla-wesa-yigehei	hla-wesa-yigehei		It wasn’t a cat a while ago (I know second hand).	
	Ꮭ ᏪᏌ ᏱᎨᏎᏍᏗ.	hla-wesa-yigesesdi	hla-wesa-yigesesdi		It won’t be a cat.	
						
210	ᏥᏯᏚᎵᎭ.	jiiyaduliha	jiiyaduliha		I want him or her.	
	ᎠᏆᏚᎵᎭ.	agwaduliha	ayv-nasgi-agwaduliha; nasgi-ayv-agwaduliha		I want it. He or she wants me.	
	ᎠᏴ ᎾᏍᎩ ᎠᏆᏚᎵᎭ.	ayv-nasgi-agwaduliha	ayv-nasgi-agwaduliha		I, it, I want.	
	ᎾᏍᎩ ᎠᏴ ᎠᏆᏚᎵᎭ.	nasgi-ayv-agwaduliha	nasgi-ayv-agwaduliha		He or she, me, wants.	
	ᎦᏥᏯᏚᎵᎭ.	gajiiyaduliha	gajiiyaduliha		I want them (animate).	
	ᏓᏆᏚᎵᎭ.	dagwaduliha	dagwaduliha		I want them (inanimate).	
	ᎬᏆᏚᎵᎭ.	gvgwaduliha	gvgwaduliha		They want me.	
	ᎤᏚᎵᎭ.	uduliha	uduliha		He or she wants him, her, or it.	
	ᏚᏚᎵᎭ.	duduliha	duduliha		He or she wants them.	
	ᎯᏯᏚᎵᎭ.	hiiyaduliha	hiiyaduliha		You one want him or her.	
	ᏣᏚᎵᎭ.	jaduliha	nihi-nasgi-jaduliha; nasgi-nihi-jaduliha		You one want it. He or she wants you one.	
	ᏂᎯ ᎾᏍᎩ ᏣᏚᎵᎭ.	nihi-nasgi-jaduliha	nihi-nasgi-jaduliha		You one, it, you want.	
	ᎾᏍᎩ ᏂᎯ ᏣᏚᎵᎭ.	nasgi-nihi-jaduliha	nasgi-nihi-jaduliha		He or she, you one, wants.	
	ᎦᎯᏯᏚᎵᎭ.	gahiiyaduliha	gahiiyaduliha		You want them (animate).	
	ᏕᏣᏚᎵᎭ.	dejaduliha	dejaduliha		You want them (inanimate).	
	ᎨᏣᏚᎵᎭ.	nasgi-nihi-gejaduliha	gejaduliha		They want you one.	
	ᎤᎾᏚᎵᎭ.	unaduliha	unaduliha		Him, her, or it, they want.	
	ᏚᎾᏚᎵᎭ.	dunaduliha	dunaduliha		They want them.	
	ᏥᏯᏚᎵᎭ ᎠᏎᏃ ᏣᎧᎭ.	jiiyaduliha-asehno-jakaha	jiiyaduliha-asehno-jakaha		I want him or her but you have him or her.	
	ᏚᏚᎵᎭ ᎠᏎᏃ ᏓᎩᎭ.	duduliha-asehno-dagiha	duduliha-asehno-dagiha		He or she wants them but I have them.	
	ᎦᏍᎩᎶ.	gasgilo	gasgilo		A table. A chair.	
	ᏗᎦᏍᎩᎶ.	digasgilo	digasgilo		Tables. Chairs.	
						
220	Ꭷ!	ka	ka		Hey now!	
	ᏄᎳ!	nula	nula		Hurry!	
	ᏂᎦᏓ.	nigada			All.	not doing
	ᏂᎦᏛ.	nigadv			All.	not doing
	ᎦᏙ ᎤᎵᏑᏫᏓ?	gado-ulsuhwida	gado-ulsuhwida		What is the color?	ul²su²³hwi²da
	ᎦᏙ ᎤᎾᎵᏑᏫᏓ?	gado-unalsuhwida	gado-unalsuhwida		What is their (animate) color?	u²nal²su²hwị²da
	ᎦᏙ ᏧᎵᏑᏫᏓ?	gado-julsuhwida	gado-julsuhwida		What is their (inanimate) color?	jul²su²³hwị²da
	ᎦᏍᎩᎸᎢ.	gasgilvi	gasgilvi		On a table. In a chair.	
